cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,2.8333333333333335,6.166666666666667,4.5,3.1666666666666665,3.4318767136623336,2.3687784005919825,2.953340857778225,5,1,4,3,0,0,3.1181810305501503,3.194300412135347,0.6666666666666666,4,2.1701547277128945,2.6074400165765166
1,10,5,5,False,running,3.5,5.5,4.666666666666667,2.3333333333333335,3.3747427885527643,2.614064523559687,2.6034165586355513,6,1,3,3,0,0,2.810515738126903,3.3742400275959112,0.6666666666666666,4,1.979108421122139,2.400049015705708
2,9,6,3,False,running,3.8333333333333335,4.666666666666667,4.5,1.8333333333333333,2.9107081994288304,2.9486343354923554,2.5276251480171834,5,1,2,5,0,0,2.8660016604317105,3.650579916445558,0.5833333333333334,3,2.048441561860658,2.251631535191872
3,7,6,1,False,running,3.8333333333333335,3.8333333333333335,4.666666666666667,1.6666666666666667,2.3213980461973533,3.456073558887953,2.4720661623652207,5,9,3,6,1,0,3.490997037635239,3.753922909530573,0.6666666666666666,9,2.098361657291579,1.6779635761759548
4,5,3,2,False,running,4.166666666666667,3.5,5.0,1.8333333333333333,1.8633899812498247,3.1710495984067415,2.608745973749755,6,10,2,6,0,0,3.2921153495047473,3.753922909530573,0.5833333333333334,9,1.7171292729553322,1.6523689270621826
5,10,6,4,False,running,4.166666666666667,2.8333333333333335,5.333333333333333,1.6666666666666667,1.6499158227686106,2.934469476943168,1.855921454276674,6,8,2,3,1,0,3.2812675716126454,3.440850450422964,0.6666666666666666,9,1.7410768522493474,1.4939538865282478
6,11,5,6,False,running,5.0,3.0,6.5,2.6666666666666665,1.536590742882148,2.449489742783178,1.8633899812498247,4,9,1,4,0,0,2.7439933173069124,3.1470960286604295,0.5833333333333334,10,1.608380256645481,1.381374268545123
7,7,4,3,False,running,5.5,2.8333333333333335,7.0,2.8333333333333335,1.5,1.9293061504650375,1.5723301886761007,9,11,1,4,0,0,2.545144516200611,3.2794552959709304,0.75,11,1.530969240967604,1.1523689270621824
8,9,6,3,False,running,6.333333333333333,2.8333333333333335,7.5,2.5,1.2133516482134201,2.088327347690278,1.4719601443879744,7,11,3,5,0,1,3.1307201950527133,3.8252878117366973,0.5833333333333334,11,1.4565590553849228,1.1523689270621824
9,3,2,1,False,running,6.333333333333333,2.8333333333333335,7.666666666666667,2.6666666666666665,1.3437096247164255,2.3154073315749675,1.2018504251546631,11,13,3,4,0,1,3.3375074573379497,3.779895703903495,0.75,10,1.2837431956073055,1.2947765989992297
10,0,0,0,True,stable_no_position_changes,6.333333333333333,2.8333333333333335,7.666666666666667,2.6666666666666665,1.3437096247164255,2.3154073315749675,1.2018504251546631,11,13,3,4,0,1,3.3375074573379497,3.779895703903495,0.75,10,1.2837431956073055,1.2947765989992297
