cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,2.8333333333333335,6.166666666666667,4.5,3.1666666666666665,3.4318767136623336,2.3687784005919825,2.953340857778225,5,1,4,3,0,0,3.1181810305501503,3.194300412135347,0.6666666666666666,4,2.1701547277128945,2.6074400165765166
1,11,6,5,False,running,2.8333333333333335,6.666666666666667,4.5,2.6666666666666665,4.333333333333333,1.4240006242195884,2.852873794770615,13,1,1,3,0,0,2.9663828368633225,3.3586377703247376,0.6666666666666666,2,1.659265804587034,3.782207317808276
2,9,4,5,False,running,2.8333333333333335,7.333333333333333,5.5,2.3333333333333335,5.666666666666667,1.0137937550497034,2.3392781412696997,18,0,3,3,0,0,3.3694855482168395,3.313245662491535,0.5,1,1.3415849594660656,4.538088187978086
3,2,1,1,False,running,3.0,7.5,5.666666666666667,2.1666666666666665,5.96284793999944,0.9574271077563381,2.1666666666666665,19,0,3,4,0,0,3.440850450422964,3.3586377703247376,0.5,1,1.2893446629166316,5.354128409458877
4,1,0,1,False,running,3.0,7.5,5.666666666666667,2.0,6.112373606964083,0.9574271077563381,1.8856180831641267,19,0,3,4,0,0,3.440850450422964,3.313245662491535,0.5833333333333334,0,1.2171292729553325,5.549253884223826
5,4,0,4,False,running,3.0,7.5,6.333333333333333,2.6666666666666665,5.871304984602847,0.9574271077563381,1.0540925533894598,21,0,3,0,0,0,3.440850450422964,2.7644709429884107,0.5833333333333334,0,1.0,5.165782190102362
6,2,0,2,False,running,3.0,7.5,6.666666666666667,2.3333333333333335,6.335525936249404,0.9574271077563381,1.0540925533894598,21,0,3,2,0,0,3.440850450422964,3.1839298750335985,0.5833333333333334,0,1.0,5.451491114226094
7,4,0,4,False,running,3.0,7.5,7.166666666666667,1.8333333333333333,7.033649282003065,0.9574271077563381,0.9718253158075502,22,0,3,3,0,1,3.440850450422964,3.819759756021083,0.5833333333333334,0,1.0,6.075305821159071
8,1,0,1,False,running,3.0,7.5,7.0,1.5,7.211102550927978,0.9574271077563381,0.9574271077563381,22,0,3,4,0,1,3.440850450422964,3.9684948569393,0.5,0,1.0,6.310517123862794
9,0,0,0,True,stable_no_position_changes,3.0,7.5,7.0,1.5,7.211102550927978,0.9574271077563381,0.9574271077563381,22,0,3,4,0,1,3.440850450422964,3.9684948569393,0.5,0,1.0,6.310517123862794
