cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,12,6,6,False,running,5.333333333333333,1.6666666666666667,2.3333333333333335,6.166666666666667,5.4083269131959835,2.4720661623652207,2.6509956200978113,4,1,5,4,1,1,3.7539229095305724,3.55504122140008,0.5833333333333334,4,1.989206799388979,3.6417504191181957
2,9,5,4,False,running,6.0,1.3333333333333333,2.0,6.666666666666667,6.666666666666667,1.9720265943665387,2.1343747458109497,9,0,5,5,1,1,3.9528925996681266,3.791497445216093,0.5,1,1.4220412585204985,5.086808398045453
3,5,3,2,False,running,6.666666666666667,1.5,1.8333333333333333,7.0,7.321960878829599,1.7716909687891083,1.6749792701868151,11,0,6,5,1,1,4.071837850024315,3.9684948569393,0.5,0,1.1666666666666667,6.3367806443089725
4,4,2,2,False,running,7.0,1.5,1.6666666666666667,7.166666666666667,7.781745019952502,1.3844373104863459,1.3017082793177757,14,0,6,5,1,1,4.117229957857518,4.071837850024315,0.5,0,1.0833333333333333,7.0287865919024
5,3,1,2,False,running,7.333333333333333,1.6666666666666667,1.6666666666666667,7.333333333333333,8.013876853447538,1.0540925533894596,1.0540925533894596,20,0,5,5,1,1,4.117229957857518,4.117229957857518,0.5,0,1.0,7.553164026941384
6,0,0,0,True,stable_no_position_changes,7.333333333333333,1.6666666666666667,1.6666666666666667,7.333333333333333,8.013876853447538,1.0540925533894596,1.0540925533894596,20,0,5,5,1,1,4.117229957857518,4.117229957857518,0.5,0,1.0,7.553164026941384
