cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,5.0,4.5,4.5,3.6666666666666665,0.9718253158075502,2.9860788111948193,2.3392781412697,2,4,1,2,0,0,2.9053884717589455,2.1480471013530615,0.6666666666666666,8,2.0242723220550283,1.7316633229258367
1,11,6,5,False,running,4.333333333333333,4.666666666666667,4.666666666666667,3.8333333333333335,0.897527467855751,2.0275875100994063,1.6414763002993509,8,12,0,0,0,0,1.9835888541324174,1.612585122689043,0.5833333333333334,9,1.263523138347365,1.3387079251871652
2,7,4,3,False,running,4.166666666666667,4.666666666666667,4.833333333333333,4.333333333333333,0.7453559924999296,1.4240006242195884,1.1666666666666665,15,15,0,0,0,0,1.4354668219345827,1.1441228056353687,0.5,9,1.0,1.1035533905932737
3,4,3,1,False,running,3.5,4.333333333333333,5.166666666666667,4.166666666666667,1.6749792701868154,1.2133516482134197,0.9718253158075502,19,10,0,0,0,0,1.5254970741804916,1.1441228056353687,0.5833333333333334,6,1.0,1.3244101855826809
4,4,3,1,False,running,3.3333333333333335,4.5,5.5,4.0,2.223610677354389,1.0671873729054748,0.9574271077563381,21,5,0,0,0,0,1.4698553182767933,1.3798250660308844,0.5,4,1.0,1.6571957931143897
5,3,3,0,False,running,2.5,5.0,5.5,4.0,3.1622776601683795,0.9574271077563381,0.9574271077563381,22,0,0,0,0,0,2.216348910790576,1.3798250660308844,0.5,0,1.0,2.5663909396113618
6,0,0,0,True,stable_no_position_changes,2.5,5.0,5.5,4.0,3.1622776601683795,0.9574271077563381,0.9574271077563381,22,0,0,0,0,0,2.216348910790576,1.3798250660308844,0.5,0,1.0,2.5663909396113618
