cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,6.0,4.0,3.8333333333333335,4.5,2.223610677354389,2.886751345948129,2.718251071716682,2,4,4,2,0,0,3.1972426158727036,2.7064187816213914,0.5,7,2.0400752472703934,1.7705448000209536
1,12,6,6,False,running,5.166666666666667,4.666666666666667,4.5,4.5,0.6871842709362772,3.4681086744474685,3.5355339059327378,0,5,4,4,0,0,3.2566335963736806,3.3067801835859556,0.5833333333333334,12,3.1164847862356564,1.7672192271647444
2,11,5,6,False,running,4.666666666666667,4.833333333333333,4.833333333333333,4.5,0.37267799624996445,3.8765677832043357,4.089281382128433,0,7,4,5,1,2,3.724975024396102,3.836135589628799,0.75,12,3.396497508867664,1.1725889843221229
3,5,2,3,False,running,4.666666666666667,5.0,4.666666666666667,4.333333333333333,0.666666666666667,3.9015666369065416,4.216370213557839,0,5,5,5,1,3,3.68264600933151,4.04451296240929,0.6666666666666666,12,3.6343906885908694,1.1666666666666667
4,3,2,1,False,running,4.5,5.0,4.666666666666667,4.5,0.52704627669473,4.0722639076235385,4.2196629670573875,0,6,5,5,1,3,4.035105279766353,4.04451296240929,0.8333333333333334,12,3.430839290536058,1.1666666666666667
5,5,4,1,False,running,4.666666666666667,4.666666666666667,4.5,4.666666666666667,0.16666666666666696,4.2163702135578385,4.297932319409209,0,6,6,5,1,3,4.199442637955744,4.205908116861323,0.75,12,3.3516564343538,1.0690355937288492
6,2,1,1,False,running,4.5,4.5,4.333333333333333,4.666666666666667,0.23570226039551626,4.06201920231798,4.409585518440984,0,6,5,6,1,3,3.9897131719331504,4.370245475050715,0.6666666666666666,12,3.424730965552328,1.0
7,1,1,0,False,running,4.666666666666667,4.333333333333333,4.333333333333333,4.666666666666667,0.4714045207910325,4.176654695380556,4.409585518440984,0,6,6,6,1,3,4.154050530122541,4.370245475050715,0.6666666666666666,12,3.424730965552328,1.0
8,0,0,0,True,stable_no_position_changes,4.666666666666667,4.333333333333333,4.333333333333333,4.666666666666667,0.4714045207910325,4.176654695380556,4.409585518440984,0,6,6,6,1,3,4.154050530122541,4.370245475050715,0.6666666666666666,12,3.424730965552328,1.0
