cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,2.8333333333333335,6.166666666666667,4.5,3.1666666666666665,3.4318767136623336,2.3687784005919825,2.953340857778225,5,1,4,3,0,0,3.1181810305501503,3.194300412135347,0.6666666666666666,4,2.1701547277128945,2.6074400165765166
1,11,5,6,False,running,3.5,5.666666666666667,3.8333333333333335,3.8333333333333335,1.863389981249825,2.91070819942883,2.223610677354389,4,6,4,0,0,0,3.1024578842477233,2.37774406524261,0.5833333333333334,9,2.250872468562638,1.4700821937322879
2,10,5,5,False,running,3.6666666666666665,5.0,3.5,4.5,0.5270462766947298,2.9814239699997196,1.5811388300841898,6,9,2,0,1,0,2.9130851548753753,1.776922480878434,0.5,12,1.9755598652253183,1.3891705314758307
3,5,3,2,False,running,4.0,4.833333333333333,3.1666666666666665,4.166666666666667,1.0671873729054746,2.9674156357941426,1.2692955176439846,7,11,2,0,1,0,2.7807258875648735,1.702615374934952,0.5833333333333334,11,1.843534791239372,1.3333333333333333
4,6,3,3,False,running,4.0,4.666666666666667,3.3333333333333335,4.0,0.9428090415820635,2.8674417556808756,1.1055415967851332,8,14,2,0,1,0,2.5450236271693583,1.5412202204829182,0.6666666666666666,10,1.7602014579060388,1.367851130197758
5,1,1,0,False,running,3.8333333333333335,4.666666666666667,3.3333333333333335,4.0,0.8333333333333336,2.891558595482912,1.1055415967851332,8,14,2,0,1,0,2.6350538794152665,1.5412202204829182,0.75,10,1.7845177968644246,1.4023689270621826
6,1,1,0,False,running,4.0,4.666666666666667,3.3333333333333335,4.0,0.9428090415820635,2.8674417556808756,1.1055415967851332,8,14,2,0,1,0,2.5740595143108904,1.5412202204829182,0.6666666666666666,11,1.8041901283227404,1.367851130197758
7,0,0,0,True,stable_no_position_changes,4.0,4.666666666666667,3.3333333333333335,4.0,0.9428090415820635,2.8674417556808756,1.1055415967851332,8,14,2,0,1,0,2.5740595143108904,1.5412202204829182,0.6666666666666666,11,1.8041901283227404,1.367851130197758
