cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,6.0,4.0,3.8333333333333335,4.5,2.223610677354389,2.886751345948129,2.718251071716682,2,4,4,2,0,0,3.1972426158727036,2.7064187816213914,0.5,7,2.0400752472703934,1.7705448000209536
1,12,6,6,False,running,6.0,4.5,3.6666666666666665,4.666666666666667,2.3392781412697,3.3541019662496847,3.2829526005987018,1,0,5,4,0,0,3.555795184820577,3.2794552959709304,0.5833333333333334,5,2.4927239220691044,2.570459680507995
2,11,6,5,False,running,6.166666666666667,4.833333333333333,2.6666666666666665,4.333333333333333,3.535533905932738,3.73422608373468,2.9627314724385294,4,0,5,4,2,1,4.015597964299011,3.371196547743347,0.6666666666666666,3,2.2661811197902613,3.3090886074027828
3,7,4,3,False,running,6.333333333333333,5.166666666666667,2.3333333333333335,4.666666666666667,4.031128874149275,4.0034707164881045,3.1797973380564857,6,0,6,5,3,1,4.415637582883917,3.8166282741614563,0.5833333333333334,2,2.069035593728849,4.059200475039988
4,3,1,2,False,running,6.5,5.166666666666667,1.8333333333333333,4.666666666666667,4.693375946776242,3.96512575112344,3.0046260628866577,6,0,6,6,3,1,4.46102969071712,3.989625169926088,0.5833333333333334,2,1.9166666666666667,4.625178645918803
5,2,1,1,False,running,6.666666666666667,5.166666666666667,1.5,5.0,5.169354139756941,3.9616214413349042,2.6299556396765835,7,0,6,6,3,1,4.543242370815347,3.989625169926088,0.5,4,2.133795939621999,4.866927019786071
6,4,2,2,False,running,6.833333333333333,4.5,1.1666666666666667,5.5,5.754225500544022,3.793268892247014,1.7480147469502525,7,0,6,5,3,1,4.415637582883917,3.840890069007871,0.6666666666666666,1,1.7845177968644246,5.215638144844494
7,7,3,4,False,running,7.0,4.166666666666667,1.3333333333333333,6.5,6.128258770283412,3.531603350069515,1.4624940645653537,7,0,6,5,2,1,4.30754011041983,3.9684948569393,0.6666666666666666,1,1.75,5.666319955265624
8,6,4,2,False,running,7.166666666666667,3.6666666666666665,1.3333333333333333,6.666666666666667,6.559556218051476,3.218867985971328,1.2018504251546631,9,0,6,5,2,1,4.225327430321604,3.9684948569393,0.5833333333333334,1,1.5833333333333333,6.008243258186217
9,4,3,1,False,running,7.333333333333333,3.3333333333333335,1.3333333333333333,6.833333333333333,6.946221994724902,2.9059326290271157,1.1666666666666665,11,0,6,5,2,1,4.179935322488402,4.071837850024315,0.5833333333333334,0,1.5,6.402967256922508
10,3,3,0,False,running,7.333333333333333,2.8333333333333335,1.3333333333333333,6.833333333333333,7.211102550927978,2.7738861628488727,1.1666666666666665,12,0,6,5,2,1,4.262148002586628,4.071837850024315,0.6666666666666666,0,1.4166666666666667,6.622333368014259
11,2,2,0,False,running,7.5,2.6666666666666665,1.3333333333333333,6.833333333333333,7.442371187255369,2.608745973749755,1.1666666666666665,14,0,6,5,2,1,4.3529322182530334,4.071837850024315,0.5,0,1.3333333333333333,6.844281882076107
12,1,1,0,False,running,7.666666666666667,2.8333333333333335,1.3333333333333333,6.833333333333333,7.490735018081411,2.455153310442706,1.1666666666666665,17,0,5,5,2,1,4.30754011041983,4.071837850024315,0.5,0,1.3333333333333333,6.906798059509069
13,0,0,0,True,stable_no_position_changes,7.666666666666667,2.8333333333333335,1.3333333333333333,6.833333333333333,7.490735018081411,2.455153310442706,1.1666666666666665,17,0,5,5,2,1,4.30754011041983,4.071837850024315,0.5,0,1.3333333333333333,6.906798059509069
