cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,5.0,4.5,4.5,3.6666666666666665,0.9718253158075502,2.9860788111948193,2.3392781412697,2,4,1,2,0,0,2.9053884717589455,2.1480471013530615,0.6666666666666666,8,2.0242723220550283,1.7316633229258367
1,11,6,5,False,running,5.0,4.666666666666667,5.0,3.8333333333333335,0.8333333333333335,3.7712361663282534,1.674979270186815,8,1,5,0,1,0,3.6638926572846633,1.6735794877934194,0.5833333333333334,2,1.4714045207910316,2.551318598749758
2,7,4,3,False,running,4.5,4.666666666666667,5.666666666666667,4.166666666666667,1.269295517643985,3.5784850922639815,1.536590742882148,11,0,3,0,1,0,3.4668232447958864,1.848287383084559,0.5,1,1.103005664791649,2.999100283007788
3,6,4,2,False,running,4.0,5.0,6.166666666666667,4.5,2.2236106773543893,3.872983346207417,1.4337208778404378,13,0,4,0,1,0,3.8862821768410734,2.1263186585446676,0.5,0,1.1375234616560739,3.6851443417987113
4,8,4,4,False,running,3.6666666666666665,5.0,6.833333333333333,4.333333333333333,3.2360813064912666,3.986086914367133,1.1666666666666665,15,0,4,2,1,0,4.050707537037527,2.4097221561214996,0.5833333333333334,0,1.0,3.7180017415179702
5,6,4,2,False,running,3.0,5.0,7.166666666666667,4.833333333333333,4.169998667732268,3.8297084310253524,0.9718253158075502,17,0,5,2,1,0,4.117229957857518,2.7777836838275167,0.5,0,1.0,4.186244426377216
6,6,3,3,False,running,2.5,5.333333333333333,7.166666666666667,5.833333333333333,4.693375946776242,3.435921354681384,0.9718253158075502,18,0,5,2,1,0,4.026445742191112,3.077543402096019,0.5833333333333334,0,1.0,4.839731237116619
7,3,2,1,False,running,2.1666666666666665,5.666666666666667,7.5,6.0,5.3437398472938,2.833333333333333,0.9574271077563381,18,0,3,3,1,0,3.758765390916707,3.440850450422964,0.5,0,1.0,5.193659805635163
8,2,2,0,False,running,1.8333333333333333,6.0,7.5,6.0,5.666666666666667,2.266911751455907,0.9574271077563381,18,0,3,3,1,0,3.6874004887105816,3.440850450422964,0.5,0,1.0,5.310611288583706
9,4,4,0,False,running,1.5,5.666666666666667,7.5,6.0,6.009252125773315,1.3437096247164249,0.9574271077563381,18,0,3,3,0,0,3.440850450422964,3.440850450422964,0.5,0,1.0,5.530297007315167
10,3,3,0,False,running,1.3333333333333333,5.5,7.5,6.0,6.1869037310901955,1.0671873729054748,0.9574271077563381,21,0,4,3,0,0,3.440850450422964,3.440850450422964,0.5,0,1.0,5.605378714515768
11,0,0,0,True,stable_no_position_changes,1.3333333333333333,5.5,7.5,6.0,6.1869037310901955,1.0671873729054748,0.9574271077563381,21,0,4,3,0,0,3.440850450422964,3.440850450422964,0.5,0,1.0,5.605378714515768
