cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,5.0,4.5,4.5,3.6666666666666665,0.9718253158075502,2.9860788111948193,2.3392781412697,2,4,1,2,0,0,2.9053884717589455,2.1480471013530615,0.6666666666666666,8,2.0242723220550283,1.7316633229258367
1,10,5,5,False,running,5.166666666666667,4.5,5.0,3.3333333333333335,1.178511301977579,3.118047822311618,1.699673171197595,5,10,3,0,1,0,2.929460988483091,1.9806466503950604,0.6666666666666666,10,2.0873855981284213,1.46138592143713
2,4,2,2,False,running,5.166666666666667,4.166666666666667,5.333333333333333,3.1666666666666665,1.0137937550497036,2.9907264074877267,1.4240006242195884,7,12,2,0,1,0,2.738396872500281,1.9702761132933118,0.75,11,1.8581533811899862,1.3923503277082807
3,4,1,3,False,running,5.333333333333333,4.0,5.166666666666667,3.1666666666666665,0.8498365855987975,2.8087165910587863,1.130388330520878,9,13,1,0,1,0,2.6350538794152665,1.6735794877934194,0.6666666666666666,9,1.6089279824471054,1.4268681245727055
4,2,2,0,False,running,5.0,3.6666666666666665,5.166666666666667,3.1666666666666665,0.52704627669473,3.1446603773522015,1.130388330520878,8,14,3,0,1,0,2.9113937682649134,1.6735794877934194,0.6666666666666666,9,1.8034155270656214,1.5409917327363887
5,1,1,0,False,running,5.0,3.5,5.166666666666667,3.1666666666666665,0.3726779962499652,3.253203549323856,1.130388330520878,8,14,3,0,2,0,3.0194912407289998,1.6735794877934194,0.5833333333333334,9,1.840354995006922,1.5841212619158613
6,0,0,0,True,stable_no_position_changes,5.0,3.5,5.166666666666667,3.1666666666666665,0.3726779962499652,3.253203549323856,1.130388330520878,8,14,3,0,2,0,3.0194912407289998,1.6735794877934194,0.5833333333333334,9,1.840354995006922,1.5841212619158613
