cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.5,4.666666666666667,5.5,4.5,1.0137937550497034,3.337497399083464,2.345207879911715,2,4,2,1,1,0,3.151850508039501,2.42607837681317,0.5833333333333334,8,1.8440825170409967,1.7607491837076632
1,11,5,6,False,running,4.0,4.833333333333333,6.0,3.8333333333333335,2.2360679774997894,3.8477987935383986,2.91070819942883,4,1,4,3,1,0,3.8041574987499094,3.2765130922335732,0.5,2,1.7071067811865477,2.8435402959452905
2,10,4,6,False,running,3.3333333333333335,4.5,6.333333333333333,3.0,3.354101966249684,4.13991411612474,3.34995854037363,5,0,6,6,2,1,4.262148002586628,4.071837850024315,0.5833333333333334,1,1.6009252125773317,4.04756388096434
3,6,3,3,False,running,3.1666666666666665,4.333333333333333,6.333333333333333,2.6666666666666665,3.578485092263981,4.126472801046649,3.5276684147527875,9,0,6,6,2,2,4.30754011041983,4.3529322182530334,0.5833333333333334,1,1.6335271055868856,5.183169918932131
4,1,0,1,False,running,3.1666666666666665,4.333333333333333,6.5,2.8333333333333335,3.655285366576885,4.126472801046649,3.4721111093332766,12,0,6,5,2,2,4.30754011041983,4.30754011041983,0.5833333333333334,1,1.623773447853214,5.424918292799398
5,0,0,0,True,stable_no_position_changes,3.1666666666666665,4.333333333333333,6.5,2.8333333333333335,3.655285366576885,4.126472801046649,3.4721111093332766,12,0,6,5,2,2,4.30754011041983,4.30754011041983,0.5833333333333334,1,1.623773447853214,5.424918292799398
