cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,12,6,6,False,running,4.5,2.8333333333333335,3.0,4.333333333333333,2.121320343559642,3.423773097362356,1.8856180831641267,2,5,5,0,1,0,3.7085308016973695,2.3487081781010777,0.6666666666666666,7,2.119129440353144,1.7668172779868792
2,11,5,6,False,running,4.833333333333333,3.5,3.0,4.0,1.9002923751652296,3.009245014211298,1.2909944487358056,8,9,2,1,1,0,2.9132060439066283,1.8512295868219162,0.6666666666666666,9,1.9333994046734357,1.6132071226976878
3,3,2,1,False,running,4.666666666666667,3.8333333333333335,3.1666666666666665,3.8333333333333335,1.5000000000000004,3.2188679859713276,0.97182531580755,11,11,2,0,1,0,2.9954187240048546,1.6868922286325254,0.75,9,1.9026091298430858,1.6571957931143897
4,1,1,0,False,running,4.666666666666667,4.0,3.1666666666666665,3.8333333333333335,1.5092308563562364,3.39934634239519,0.97182531580755,11,11,2,0,2,0,3.1035161964689415,1.6868922286325254,0.6666666666666666,9,1.9465978002597877,1.7119336472387545
5,0,0,0,True,stable_no_position_changes,4.666666666666667,4.0,3.1666666666666665,3.8333333333333335,1.5092308563562364,3.39934634239519,0.97182531580755,11,11,2,0,2,0,3.1035161964689415,1.6868922286325254,0.6666666666666666,9,1.9465978002597877,1.7119336472387545
