cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,11,6,5,False,running,5.0,2.0,3.1666666666666665,5.333333333333333,3.8042374035044424,2.581988897471611,1.922093765778466,7,1,5,0,0,0,3.6137593441805342,2.296008625934736,0.5833333333333334,3,1.487349330215273,2.8358661990411367
2,9,6,3,False,running,5.666666666666667,1.6666666666666667,2.8333333333333335,5.833333333333333,5.038738819276991,2.1081851067789192,1.5092308563562362,13,1,3,0,0,0,3.6874004887105816,2.531710886330252,0.5,3,1.372677996249965,3.7179412459028676
3,7,5,2,False,running,6.0,1.1666666666666667,2.6666666666666665,6.166666666666667,6.009252125773315,1.6749792701868151,1.3017082793177759,14,0,5,0,1,0,3.989625169926088,2.7644709429884107,0.5,0,1.1666666666666667,5.12535421505596
4,4,2,2,False,running,5.833333333333333,1.3333333333333333,2.5,6.5,6.148622248565572,1.1666666666666665,1.0801234497346435,19,0,4,1,0,0,3.605187808612355,2.9742004090110044,0.5833333333333334,0,1.0,5.492498383436058
5,4,1,3,False,running,6.0,1.5,1.8333333333333333,6.833333333333333,6.7679801680823175,0.9574271077563381,0.9718253158075502,22,0,3,3,0,0,3.440850450422964,3.62944960345877,0.5833333333333334,0,1.0,5.945785129372772
6,1,0,1,False,running,6.0,1.5,1.5,7.0,7.106335201775948,0.9574271077563381,0.9574271077563381,22,0,3,4,0,1,3.440850450422964,3.9684948569393,0.5,0,1.0,6.0979466080222275
7,0,0,0,True,stable_no_position_changes,6.0,1.5,1.5,7.0,7.106335201775948,0.9574271077563381,0.9574271077563381,22,0,3,4,0,1,3.440850450422964,3.9684948569393,0.5,0,1.0,6.0979466080222275
