cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,6.0,4.0,3.8333333333333335,4.5,2.223610677354389,2.886751345948129,2.718251071716682,2,4,4,2,0,0,3.1972426158727036,2.7064187816213914,0.5,7,2.0400752472703934,1.7705448000209536
1,12,6,6,False,running,5.0,4.166666666666667,4.0,4.666666666666667,1.118033988749895,2.9674156357941426,1.7950549357115013,4,4,1,0,0,0,2.841841141700503,1.702615374934952,0.75,9,1.9361121226694877,1.6232257220515895
2,11,5,6,False,running,4.666666666666667,4.0,4.0,4.333333333333333,0.74535599249993,3.2998316455372216,1.1055415967851334,8,10,3,0,1,0,2.9827586704710387,1.1441228056353687,0.5,11,2.016675393778003,1.6027787893361545
3,4,4,0,False,running,4.0,4.5,4.0,4.333333333333333,0.16666666666666696,3.0413812651491097,1.1055415967851334,8,12,2,0,1,0,2.7016643022423197,1.1441228056353687,0.5833333333333334,11,1.884583868204527,1.5032941396395139
4,2,2,0,False,running,4.0,4.5,4.0,4.333333333333333,0.16666666666666696,3.1490739379485304,1.1055415967851334,9,13,2,0,2,0,2.7197315224604974,1.1441228056353687,0.75,11,1.8394958537696928,1.5218671270796973
5,0,0,0,True,stable_no_position_changes,4.0,4.5,4.0,4.333333333333333,0.16666666666666696,3.1490739379485304,1.1055415967851334,9,13,2,0,2,0,2.7197315224604974,1.1441228056353687,0.75,11,1.8394958537696928,1.5218671270796973
