cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.5,4.666666666666667,5.5,4.5,1.0137937550497034,3.337497399083464,2.345207879911715,2,4,2,1,1,0,3.151850508039501,2.42607837681317,0.5833333333333334,8,1.8440825170409967,1.7607491837076632
1,11,5,6,False,running,4.5,4.333333333333333,5.0,4.5,0.52704627669473,3.8042374035044424,3.452052529534663,0,6,4,3,1,0,3.7375470759228566,3.3460657187979836,0.5,12,2.578519794606535,1.353005664791649
2,9,4,5,False,running,4.5,4.5,4.666666666666667,4.166666666666667,0.3726779962499648,3.9791121287711073,4.166666666666667,0,4,6,5,1,2,3.9442330620928856,4.097810644397237,0.5833333333333334,12,3.233057606278028,1.5196723314583158
3,7,4,3,False,running,4.5,4.5,4.5,4.333333333333333,0.16666666666666696,4.102844541697057,4.412734098291242,0,4,6,6,1,3,4.071837850024315,4.370245475050715,0.5833333333333334,12,3.4715636247402,1.5
4,2,1,1,False,running,4.5,4.333333333333333,4.5,4.5,0.16666666666666696,4.13991411612474,4.301162633521313,0,5,6,6,1,2,4.117229957857518,4.262148002586628,0.5833333333333334,12,3.4524225429819633,1.25
5,0,0,0,True,stable_no_position_changes,4.5,4.333333333333333,4.5,4.5,0.16666666666666696,4.13991411612474,4.301162633521313,0,5,6,6,1,2,4.117229957857518,4.262148002586628,0.5833333333333334,12,3.4524225429819633,1.25
