cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.5,4.666666666666667,5.5,4.5,1.0137937550497034,3.337497399083464,2.345207879911715,2,4,2,1,1,0,3.151850508039501,2.42607837681317,0.5833333333333334,8,1.8440825170409967,1.7607491837076632
1,12,6,6,False,running,4.666666666666667,4.5,5.833333333333333,4.166666666666667,1.213351648213419,2.6718699236468995,2.2973414586817036,6,4,1,1,0,0,2.5082910569113963,2.5553941642711067,0.5833333333333334,6,1.74535599249993,1.6625703849682212
2,10,6,4,False,running,5.166666666666667,4.166666666666667,5.833333333333333,3.5,0.9428090415820631,2.758824226207808,2.592724864350674,9,6,2,2,0,1,2.498041408840901,2.852090789770999,0.6666666666666666,6,1.735912657903775,1.490529126447723
3,11,5,6,False,running,5.5,3.6666666666666665,6.166666666666667,2.5,1.3437096247164249,2.608745973749755,2.2484562605386733,8,7,2,3,0,0,2.7439933173069124,3.2747008165918583,0.5833333333333334,8,1.6186390587802857,1.3535533905932737
4,11,6,5,False,running,5.666666666666667,2.8333333333333335,6.5,1.6666666666666667,1.4337208778404378,2.3154073315749675,1.8633899812498247,7,9,2,4,0,1,2.8630594566943532,3.8651518638542854,0.8333333333333334,9,1.6794152037569123,1.1720412585204982
5,7,4,3,False,running,6.0,2.3333333333333335,6.333333333333333,1.3333333333333333,1.0540925533894598,2.211083193570267,1.563471919941143,11,9,3,5,0,1,3.3538832909456655,3.9231027491060977,0.8333333333333334,9,1.4571067811865477,1.3041901283227404
6,9,6,3,False,running,5.666666666666667,2.0,5.666666666666667,1.5,0.5,1.7950549357115013,2.266911751455907,7,12,3,4,0,1,3.1972426158727036,3.8253758137437597,0.5833333333333334,11,1.358380256645481,1.0690355937288492
7,8,4,4,False,running,5.0,2.3333333333333335,5.166666666666667,2.3333333333333335,0.16666666666666696,2.2110831935702664,2.242270674512285,7,11,2,2,0,1,2.9451841347855177,2.908330675496303,0.5833333333333334,10,1.3440825170409967,1.1035533905932737
8,8,3,5,False,running,5.166666666666667,2.5,5.0,2.1666666666666665,0.3726779962499652,2.2484562605386738,2.6718699236468995,5,5,2,3,0,1,2.887233249533706,3.2293087087586554,0.5833333333333334,8,1.3732257220515895,1.367851130197758
9,10,6,4,False,running,5.0,2.8333333333333335,5.333333333333333,2.5,0.47140452079103157,2.91070819942883,3.337497399083464,3,7,4,4,0,2,3.1290288084422517,3.772078131755812,0.5,11,1.6673972510204285,1.117851130197758
10,6,3,3,False,running,5.0,3.1666666666666665,5.333333333333333,2.8333333333333335,0.47140452079103123,3.131382371342656,3.320809807528546,3,9,3,4,0,1,3.3037170908173454,3.6717982314394084,0.5,11,1.6768681245727055,1.0690355937288492
11,9,3,6,False,running,5.333333333333333,3.0,5.666666666666667,4.0,1.05409255338946,3.2489314482696545,2.3570226039551585,3,7,3,2,1,0,3.573209717733466,2.5294213698981842,0.6666666666666666,10,1.7527299377363441,1.4560113295832984
12,12,6,6,False,running,5.333333333333333,3.5,5.5,5.0,1.509230856356236,2.4776781245530843,1.707825127659933,6,6,1,1,0,0,2.6696862113634303,1.6766425805620297,0.5,10,1.8192184522809862,1.5447192547704633
13,10,4,6,False,running,5.5,4.333333333333333,5.833333333333333,5.833333333333333,1.5365907428821477,1.9507833184532708,1.9002923751652299,6,9,1,1,0,0,1.9679865968612438,2.2912541465556644,0.5833333333333334,7,1.4071957931143897,1.511296909509288
14,10,5,5,False,running,5.333333333333333,5.333333333333333,5.666666666666667,6.666666666666667,1.3743685418725544,1.9436506316151,1.563471919941143,8,11,0,3,0,0,2.216348910790576,2.585661255623489,0.6666666666666666,10,1.358380256645481,1.2702200572599405
15,11,6,5,False,running,5.666666666666667,6.333333333333333,6.5,7.0,1.0671873729054748,2.185812841434,1.5,8,10,3,2,0,1,2.8370866623214313,3.366422455448229,0.5833333333333334,11,1.5643915862287792,1.1375234616560739
16,6,4,2,False,running,6.5,6.333333333333333,6.666666666666667,6.666666666666667,0.3726779962499656,1.5723301886761005,2.0275875100994067,9,13,3,3,0,1,2.9537227833295057,3.5151575563664466,0.75,10,1.4959610625303208,1.2553745918538317
17,3,2,1,False,running,6.5,6.166666666666667,6.5,6.5,0.33333333333333304,1.8408935028645435,2.48327740429189,8,14,3,3,0,1,2.9694459296319327,3.67655271081848,0.6666666666666666,12,1.6011326609900578,1.2060113295832984
18,7,3,4,False,running,6.166666666666667,6.0,5.5,6.166666666666667,0.6871842709362772,2.266911751455907,2.4608038433722337,7,8,3,2,0,1,2.9991148911627086,2.884068880649888,0.5833333333333334,9,1.6483299895925034,1.309564720176572
19,12,6,6,False,running,5.333333333333333,6.333333333333333,4.666666666666667,6.666666666666667,0.7453559924999296,2.0275875100994063,1.7638342073763935,8,12,1,1,0,0,2.677503783511112,2.6406503242218977,0.6666666666666666,10,1.4714045207910316,1.0690355937288492
20,11,5,6,False,running,4.833333333333333,6.666666666666667,4.166666666666667,7.5,1.0671873729054742,1.740051084818425,2.0138409955990957,9,10,2,3,0,1,2.5559922940927127,3.548947922887051,0.5833333333333334,9,1.4767791126448635,1.2208567949894071
21,11,6,5,False,running,4.5,6.833333333333333,3.5,7.166666666666667,1.05409255338946,2.2484562605386738,2.0138409955990952,6,11,3,2,0,0,3.1151179377815397,3.419720137436176,0.6666666666666666,10,1.5393446629166316,1.1725889843221229
22,9,4,5,False,running,4.0,6.666666666666667,4.333333333333333,7.5,0.8975274678557503,2.4267032964268394,1.2133516482134197,9,11,3,3,0,0,3.1259657156736416,3.194300412135347,0.5833333333333334,11,1.4417135899788143,1.25
23,8,4,4,False,running,4.333333333333333,6.833333333333333,5.166666666666667,6.5,0.8975274678557511,1.740051084818425,1.178511301977579,11,13,2,1,0,0,2.68044598724847,2.3196919038755905,0.5833333333333334,10,1.1863389981249826,1.2011844635310913
