cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,4.666666666666667,2.5,3.0,5.166666666666667,3.1446603773522015,2.9107081994288304,2.852873794770615,2,1,3,3,1,0,3.40582887969151,3.1103634584024675,0.6666666666666666,5,2.199087535215228,2.284473779961067
1,11,6,5,False,running,5.0,3.0,3.1666666666666665,5.0,2.7131367660166177,2.0,1.7716909687891083,10,2,0,0,0,0,2.4707165212258757,2.1316712677453453,0.5833333333333334,3,1.2837431956073055,2.1550988647985263
2,10,4,6,False,running,5.166666666666667,2.8333333333333335,3.6666666666666665,4.5,2.242270674512285,1.509230856356236,1.0671873729054748,17,4,0,0,0,0,2.277343275894953,1.2897948137849757,0.5833333333333334,3,1.0,1.89344577931153
3,5,4,1,False,running,5.166666666666667,2.6666666666666665,3.8333333333333335,4.333333333333333,2.1343747458109497,1.0137937550497034,1.0137937550497034,20,8,0,0,0,0,2.0706769026409693,1.1441228056353687,0.5,6,1.0,1.4417135899788143
4,2,1,1,False,running,5.5,3.0,3.5,4.0,2.23606797749979,0.9574271077563381,0.9574271077563381,22,6,0,0,0,0,1.9092817481889355,1.3798250660308844,0.5,4,1.0,1.608380256645481
5,0,0,0,True,stable_no_position_changes,5.5,3.0,3.5,4.0,2.23606797749979,0.9574271077563381,0.9574271077563381,22,6,0,0,0,0,1.9092817481889355,1.3798250660308844,0.5,4,1.0,1.608380256645481
