cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,2.8333333333333335,6.166666666666667,4.5,3.1666666666666665,3.4318767136623336,2.3687784005919825,2.953340857778225,5,1,4,3,0,0,3.1181810305501503,3.194300412135347,0.6666666666666666,4,2.1701547277128945,2.6074400165765166
1,12,6,6,False,running,3.3333333333333335,5.0,4.666666666666667,2.5,2.8333333333333335,1.8856180831641267,3.4840908267278117,4,1,0,6,0,0,2.142041804847094,4.0091324853934305,0.5833333333333334,2,1.7824208685485614,2.586624324196711
2,11,6,5,False,running,3.0,4.666666666666667,4.666666666666667,2.3333333333333335,2.867441755680876,1.247219128924647,3.844187531556932,10,0,0,6,0,2,1.922594489028041,4.389752790518057,0.6666666666666666,2,1.6666666666666667,3.3122680585847646
3,10,6,4,False,running,2.0,3.6666666666666665,5.333333333333333,2.3333333333333335,3.590109871423002,1.247219128924647,3.8873012632302006,10,2,1,6,0,3,2.8231757916607196,4.497850262982143,0.5,3,1.5833333333333333,3.2870219306789963
4,8,5,3,False,running,2.3333333333333335,2.8333333333333335,5.666666666666667,2.5,3.3499585403736303,1.1666666666666665,3.760171390892826,7,4,1,6,0,3,2.834023569552821,4.378817010618893,0.5,4,1.75,2.770076052811291
5,8,4,4,False,running,2.5,2.0,6.0,3.0,3.640054944640259,0.9574271077563381,3.6514837167011076,12,4,2,6,0,2,3.266142555131825,4.179935322488402,0.5833333333333334,4,1.8004626062886657,2.6665428708503707
6,7,3,4,False,running,3.5,1.6666666666666667,6.333333333333333,3.5,3.3747427885527643,1.0671873729054748,3.624760528488591,11,3,2,6,0,2,3.1489083043021444,4.134543214655198,0.5,4,1.8333333333333333,2.519628314554958
7,6,2,4,False,running,4.0,1.6666666666666667,6.5,4.0,3.419714088113865,1.1055415967851334,3.640054944640259,9,2,3,6,0,2,3.016549036991643,4.143114750223378,0.5833333333333334,3,1.9014448166504954,2.8481347818360843
8,7,3,4,False,running,4.166666666666667,2.1666666666666665,6.5,4.5,3.2998316455372216,0.9718253158075502,3.719318934070233,13,0,1,5,0,2,2.452051171186092,4.179935322488402,0.6666666666666666,1,1.659265804587034,3.505148458191394
9,6,2,4,False,running,4.833333333333333,2.1666666666666665,6.5,5.166666666666667,3.4318767136623336,0.9718253158075502,3.793268892247014,12,0,1,6,0,2,2.452051171186092,4.30754011041983,0.5,1,1.6749182927993989,3.588081162265659
