cycle,movement_count,squares_moves,crosses_moves,stable,stop_reason,squares_centroid_row,squares_centroid_column,crosses_centroid_row,crosses_centroid_column,centroid_distance,squares_dispersion,crosses_dispersion,same_group_adjacent_pairs,mixed_adjacent_pairs,squares_edge_count,crosses_edge_count,squares_corner_count,crosses_corner_count,squares_mean_center_distance,crosses_mean_center_distance,checkerboard_alignment,mixed_nearest_neighbor_count,mean_nearest_same_distance,mean_nearest_other_distance
0,0,0,0,False,running,5.0,4.5,4.5,3.6666666666666665,0.9718253158075502,2.9860788111948193,2.3392781412697,2,4,1,2,0,0,2.9053884717589455,2.1480471013530615,0.6666666666666666,8,2.0242723220550283,1.7316633229258367
1,11,5,6,False,running,5.0,4.333333333333333,4.5,3.6666666666666665,0.8333333333333331,2.6246692913372702,2.4094720491334933,5,7,1,2,0,0,2.5450236271693583,2.1934392091862644,0.5833333333333334,9,1.8087901189194528,1.3440825170409967
2,10,5,5,False,running,5.333333333333333,4.333333333333333,4.833333333333333,3.5,0.9718253158075498,2.260776661041756,2.8382310609877335,9,9,1,2,0,0,2.1503366177851295,2.810603740133965,0.6666666666666666,9,1.4816059786970703,1.2702200572599405
3,9,4,5,False,running,5.333333333333333,4.166666666666667,4.166666666666667,3.8333333333333335,1.2133516482134192,2.650995620097811,2.934469476943168,5,10,2,2,0,1,2.5559922940927127,2.52695640695118,0.5833333333333334,9,1.6631181107698458,1.2214045207910316
4,10,5,5,False,running,4.833333333333333,4.666666666666667,4.166666666666667,4.166666666666667,0.8333333333333328,2.773886162848873,3.1001792062897127,4,7,2,3,0,0,2.5113541496800065,2.728989189857345,0.5833333333333334,9,1.940938988721695,1.2750469233121475
5,11,6,5,False,running,4.5,4.833333333333333,4.166666666666667,4.0,0.8975274678557503,3.118047822311618,2.544056253745625,3,6,2,1,1,0,2.809761774706406,2.487072741917546,0.5833333333333334,9,1.974909059784495,1.4417135899788143
6,11,6,5,False,running,4.5,4.166666666666667,4.333333333333333,3.1666666666666665,1.0137937550497038,3.118047822311618,2.088327347690278,6,6,2,2,0,0,3.027396814883744,2.1480471013530615,0.5833333333333334,8,1.530421515165979,1.3732257220515895
7,11,5,6,False,running,4.166666666666667,3.6666666666666665,5.333333333333333,3.3333333333333335,1.213351648213419,2.6509956200978113,1.2018504251546631,10,2,2,0,0,0,2.68044598724847,1.7582571308386503,0.5833333333333334,2,1.1666666666666667,1.8440825170409967
8,10,6,4,False,running,4.666666666666667,3.6666666666666665,6.0,3.5,1.3437096247164246,1.7638342073763937,0.9574271077563381,14,10,0,0,0,0,1.7636097400393282,1.9092817481889355,0.5833333333333334,7,1.1523689270621824,1.2559223176554564
9,12,6,6,False,running,5.166666666666667,3.3333333333333335,7.0,3.3333333333333335,1.833333333333333,2.1666666666666665,1.7950549357115013,9,6,1,3,0,0,2.3383572539153747,3.0727889227169474,0.75,6,1.5324208685485614,1.6100273264652378
10,9,6,3,False,running,5.333333333333333,3.5,7.0,3.1666666666666665,1.6996731711975952,2.852873794770615,2.4094720491334933,8,6,3,4,0,1,3.032905257683313,3.605187808612355,0.5,7,1.8897182572774553,1.5361648666841816
