scenario,display_name,source_caption,seed,max_cycles,cycles_completed,stop_reason,squares_own,squares_other,crosses_own,crosses_other,final_movement_count,total_movement_count,stable_cycle_count,final_cycle_stable,recent_moving_cycles,final_centroid_distance,final_squares_dispersion,final_crosses_dispersion,final_same_group_adjacent_pairs,final_mixed_adjacent_pairs,final_squares_edge_count,final_crosses_edge_count,final_squares_corner_count,final_crosses_corner_count,final_squares_mean_center_distance,final_crosses_mean_center_distance,final_checkerboard_alignment,final_mixed_nearest_neighbor_count,final_mean_nearest_same_distance,final_mean_nearest_other_distance
social_climber,Social Climber,Social Climber,505,100,100,persistent_or_recurrent_movement_max_cycles,-1,1,1,-1,4,957,0,False,10,1.3437096247164249,2.3213980461973533,1.5723301886761007,8,9,4,5,0,1,3.2426347237059066,4.026445742191112,0.5833333333333334,10,1.372677996249965,1.3333333333333333
social_worker,Social Worker,Social Worker,101,100,11,stable_no_position_changes,1,1,-1,-1,0,52,1,True,9,2.8674417556808756,0.9574271077563381,4.437842318564782,11,0,0,6,0,4,1.9092817481889355,4.523735055348004,0.5,2,2.4166666666666665,3.7203655272655545
social_worker,Social Worker,Social Worker,202,100,18,stable_no_position_changes,1,1,-1,-1,0,97,1,True,9,1.3743685418725535,0.9574271077563381,4.512328790226961,11,0,0,6,0,4,0.9984507974857616,4.569127163181206,0.5,2,2.1666666666666665,3.6071045014874747
social_worker,Social Worker,Social Worker,303,100,25,stable_no_position_changes,1,1,-1,-1,0,152,1,True,9,3.4359213546813834,0.9574271077563381,4.428443418528808,11,1,0,6,0,4,2.603075788536377,4.478342947514801,0.5833333333333334,1,2.5,3.5077686654466653
social_worker,Social Worker,Social Worker,404,100,69,stable_no_position_changes,1,1,-1,-1,0,306,1,True,9,3.435921354681384,0.9574271077563381,4.428443418528808,11,1,0,6,0,4,2.603075788536377,4.478342947514801,0.5833333333333334,1,2.5,3.5077686654466653
social_worker,Social Worker,Social Worker,505,100,14,stable_no_position_changes,1,1,-1,-1,0,58,1,True,9,3.435921354681384,0.9574271077563381,4.428443418528808,11,1,0,6,0,4,2.603075788536377,4.478342947514801,0.5833333333333334,1,2.5,3.5077686654466653
boy_girl,Boy-Girl,Boy-Girl,101,50,3,stable_no_position_changes,-1,1,-1,1,0,18,1,True,2,0.0,2.718251071716682,2.718251071716682,4,10,1,1,0,0,2.64846789636958,2.64846789636958,0.6666666666666666,12,1.9833784566241583,1.0
boy_girl,Boy-Girl,Boy-Girl,202,50,3,stable_no_position_changes,-1,1,-1,1,0,13,1,True,2,0.666666666666667,3.1001792062897127,2.8963578661637945,0,8,2,2,1,0,2.9875131498501104,2.7626586673466957,0.6666666666666666,12,2.512173270486809,1.0
boy_girl,Boy-Girl,Boy-Girl,303,50,5,stable_no_position_changes,-1,1,-1,1,0,24,1,True,4,0.33333333333333304,2.5873624493766707,2.5873624493766707,0,10,2,3,0,0,2.5904157350025607,2.6937587280875754,0.5,12,2.30693654216063,1.0
boy_girl,Boy-Girl,Boy-Girl,404,50,5,stable_no_position_changes,-1,1,-1,1,0,23,1,True,4,0.5270462766947298,2.778888666755511,2.5385910352879693,0,10,2,2,1,0,2.7064187816213914,2.643713416990508,0.6666666666666666,12,2.0786893258332633,1.0
boy_girl,Boy-Girl,Boy-Girl,505,50,5,stable_no_position_changes,-1,1,-1,1,0,21,1,True,4,0.0,2.5055493963954847,2.5055493963954847,7,14,1,1,0,0,2.2937191095026686,2.2725887965158806,0.6666666666666666,12,1.345177968644246,1.0
couples,Couples,Couples,101,50,8,stable_no_position_changes,-4,1,-4,1,0,39,1,True,7,0.4714045207910325,4.176654695380556,4.409585518440984,0,6,6,6,1,3,4.154050530122541,4.370245475050715,0.6666666666666666,12,3.424730965552328,1.0
couples,Couples,Couples,202,50,8,stable_no_position_changes,-4,1,-4,1,0,34,1,True,7,0.666666666666667,4.176654695380556,4.2295258468165065,0,6,6,6,1,2,4.154050530122541,4.225327430321604,0.6666666666666666,12,3.460674169114695,1.0
couples,Couples,Couples,303,50,7,stable_no_position_changes,-4,1,-4,1,0,39,1,True,6,0.6871842709362769,4.176654695380556,4.374801582802229,0,5,6,6,1,3,4.154050530122541,4.370245475050715,0.75,12,3.5746101576590696,1.25
couples,Couples,Couples,404,50,9,stable_no_position_changes,-4,1,-4,1,0,35,1,True,8,0.8975274678557503,4.28498671072748,4.242640687119285,0,5,6,6,2,2,4.262148002586628,4.262148002586628,0.5833333333333334,12,3.481018022190932,1.25
couples,Couples,Couples,505,50,5,stable_no_position_changes,-4,1,-4,1,0,29,1,True,4,0.16666666666666696,4.13991411612474,4.301162633521313,0,5,6,6,1,2,4.117229957857518,4.262148002586628,0.5833333333333334,12,3.4524225429819633,1.25
husband_wives,Husbands and Wives,Husbands and Wives,101,50,5,stable_no_position_changes,-4,2,1,2,0,29,1,True,4,0.16666666666666696,3.1490739379485304,1.1055415967851334,9,13,2,0,2,0,2.7197315224604974,1.1441228056353687,0.75,11,1.8394958537696928,1.5218671270796973
husband_wives,Husbands and Wives,Husbands and Wives,202,50,6,stable_no_position_changes,-4,2,1,2,0,21,1,True,5,0.3726779962499652,3.253203549323856,1.130388330520878,8,14,3,0,2,0,3.0194912407289998,1.6735794877934194,0.5833333333333334,9,1.840354995006922,1.5841212619158613
husband_wives,Husbands and Wives,Husbands and Wives,303,50,7,stable_no_position_changes,-4,2,1,2,0,34,1,True,6,0.9428090415820635,2.8674417556808756,1.1055415967851332,8,14,2,0,1,0,2.5740595143108904,1.5412202204829182,0.6666666666666666,11,1.8041901283227404,1.367851130197758
husband_wives,Husbands and Wives,Husbands and Wives,404,50,5,stable_no_position_changes,-4,2,1,2,0,27,1,True,4,1.5092308563562364,3.39934634239519,0.97182531580755,11,11,2,0,2,0,3.1035161964689415,1.6868922286325254,0.6666666666666666,9,1.9465978002597877,1.7119336472387545
husband_wives,Husbands and Wives,Husbands and Wives,505,50,7,stable_no_position_changes,-4,2,1,2,0,27,1,True,6,0.37267799624996445,3.1710495984067415,1.0137937550497034,10,12,2,0,2,0,2.809761774706406,1.2341530578812774,0.5833333333333334,11,1.8624325214405688,1.485702260395516
