source_key,source_label,input_field,input_label,paper_significant,paper_direction,paper_f,paper_p,level_25_n,level_25_mean,level_25_std,level_50_n,level_50_mean,level_50_std,level_75_n,level_75_mean,level_75_std,anova_f,anova_p,significant,observed_direction,significance_match,direction_match,overall_match
netlogo,NetLogo,promotive_level,Family Promotive,true,increasing,2092.87,<.001,2430,121.15853333333364,28.10791745883884,2430,164.54482167352683,35.596550754983035,2430,181.55248888889085,38.06569214680645,2016.4926362001215,0.0,true,increasing,true,true,true
netlogo,NetLogo,risk_level,Family Risk,true,decreasing,650.38,<.001,2430,178.72236406035782,42.42834098965218,2430,150.05877914952114,38.0567236121373,2430,138.4747006858723,36.59596351686118,682.1294777685509,2.8052343842289873e-272,true,decreasing,true,true,true
netlogo,NetLogo,schools_promotive,School Promotive,true,increasing,1222.53,<.001,2430,149.52614348422574,42.121541823971775,2430,156.86404334705205,42.17972564732141,2430,160.86565706447348,42.744866425208365,44.81151637833644,4.542673557058729e-20,true,increasing,true,true,true
netlogo,NetLogo,schools_risk,School Risk,false,,0.05,.9552,2430,156.61933525377341,41.74482318706188,2430,155.39031330589975,43.02517692496354,2430,155.24619533607813,43.03157318092924,0.7623498343029911,0.4666059862005947,false,decreasing,true,not_applicable,true
netlogo,NetLogo,neighborhood_promotive,Neighborhood Promotive,true,increasing,379.10,<.001,2430,120.29285404663524,25.053439465584677,2430,164.04700137174407,34.51878724077341,2430,182.91598847737197,39.528979212494725,2224.7064527477946,0.0,true,increasing,true,true,true
netlogo,NetLogo,neighborhood_risk,Neighborhood Risk,false,,0.35,.7034,2430,155.77613086419876,42.62983297529496,2430,156.01146611797108,42.79526460917839,2430,155.46824691358145,42.40007055851789,0.09932862950766728,0.9054463290457513,false,mixed,true,not_applicable,true
