source_key,source_label,input_field,input_label,paper_significant,paper_direction,paper_f,paper_p,level_25_n,level_25_mean,level_25_std,level_50_n,level_50_mean,level_50_std,level_75_n,level_75_mean,level_75_std,anova_f,anova_p,significant,observed_direction,significance_match,direction_match,overall_match
mesa,Mesa,promotive_level,Family Promotive,true,increasing,2092.87,<.001,2430,124.00324910836797,29.505479906208016,2430,168.2678639231839,38.217701801600725,2430,187.15786886145608,39.1853787805665,1981.0905881093727,0.0,true,increasing,true,true,true
mesa,Mesa,risk_level,Family Risk,true,decreasing,650.38,<.001,2430,184.37218984910965,44.16732983521109,2430,155.1654680384101,40.89650095490976,2430,139.89132400548823,36.383596230728834,752.7382876475627,6.717564771762663e-298,true,decreasing,true,true,true
mesa,Mesa,schools_promotive,School Promotive,true,increasing,1222.53,<.001,2430,153.53320246913663,43.940885854706075,2430,160.93558189300546,44.41194994339717,2430,164.96019753086588,44.7062626558519,41.49637077349524,1.2028408046791735e-18,true,increasing,true,true,true
mesa,Mesa,schools_risk,School Risk,false,,0.05,.9552,2430,160.32247901234686,44.07105785633019,2430,159.49326310013848,44.69357298786067,2430,159.61323978052263,45.043473912133564,0.24529538723948247,0.7824798321865364,false,mixed,true,not_applicable,true
mesa,Mesa,neighborhood_promotive,Neighborhood Promotive,true,increasing,379.10,<.001,2430,122.37278299039374,25.921873324064197,2430,168.15512949245735,36.44448315224974,2430,188.90106941015688,40.62653452249919,2313.884218380441,0.0,true,increasing,true,true,true
mesa,Mesa,neighborhood_risk,Neighborhood Risk,false,,0.35,.7034,2430,159.06224115226465,44.74088552477415,2430,159.70185843621528,45.14866689279355,2430,160.66488230452805,43.90488388269777,0.795027506216493,0.45160797853270557,false,increasing,true,not_applicable,true
