[run number],staying-power,percent-inappropriate-land,informalityindex,percent-prime-land,initialcitylimit,popgrowthrate,SimulationRuntime,Politics,Develop,price-sensitivity,diffusion-rate,economicgrowthrate,initialinequality,[step],slumpoppercent,centralslumpoppercent,peripheryslumpoppercent,num-slums,central-num-slums,peripheral-num-slums,slumareapercent,centralslumareapercent,peripheryslumareapercent,slum-density,central-slum-density,periphery-slum-density,red-density,blue-density,green-density,smallest-slum,largest-slum
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,1,0.013477088948787063,1.7123287671232876,0.0,2,2,0,0.5434782608695652,0.6920415224913495,0.0,2.5,2.5,0.0,1.0282485875706215,1.0,1.0,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,2,0.034031413612565446,4.3624161073825505,0.0,4,4,0,1.0723860589812333,1.384083044982699,0.0,3.25,3.25,0.0,1.0742857142857143,1.0,1.0,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,3,0.07633587786259542,10.0,0.0,10,10,0,2.6881720430107525,3.584229390681003,0.0,3.0,3.0,0.0,1.187878787878788,1.0,1.0,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,4,0.09653465346534654,12.662337662337661,0.0,13,13,0,3.485254691689008,4.676258992805756,0.0,3.0,3.0,0.0,1.2767295597484276,1.0,1.0,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,5,0.11298076923076923,14.285714285714285,1.9801980198019802,17,16,1,4.594594594594595,5.904059040590406,1.0101010101010102,2.764705882352941,2.8125,2.0,1.4189189189189189,1.0,1.0149253731343284,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,6,0.12850467289719625,16.358024691358025,1.9230769230769231,19,18,1,5.135135135135135,6.7164179104477615,0.9803921568627451,2.8947368421052633,2.9444444444444446,2.0,1.5352112676056338,1.0,1.0153846153846153,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,7,0.1409090909090909,17.91044776119403,1.9047619047619049,22,21,1,5.898123324396782,7.777777777777778,0.9708737864077669,2.8181818181818183,2.857142857142857,2.0,1.6423357664233578,1.0,1.0147058823529411,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,8,0.16777041942604856,20.710059171597635,5.217391304347826,28,25,3,7.4866310160427805,9.398496240601503,2.7777777777777777,2.7142857142857144,2.8,2.0,1.8076923076923077,1.0069444444444444,1.0138888888888888,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,9,0.17167381974248927,21.574344023323615,4.878048780487805,29,26,3,7.611548556430446,9.774436090225564,2.608695652173913,2.7586206896551726,2.8461538461538463,2.0,1.8421052631578947,1.0069444444444444,1.0133333333333334,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,10,0.17118997912317327,21.59090909090909,4.724409448818897,30,27,3,7.6923076923076925,9.96309963099631,2.5210084033613445,2.7333333333333334,2.814814814814815,2.0,1.8394160583941606,1.0132450331125828,1.0277777777777777,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,11,0.1744421906693712,22.47191011235955,4.37956204379562,32,29,3,7.98004987531172,10.622710622710622,2.34375,2.6875,2.7586206896551726,2.0,1.8571428571428572,1.0134228187919463,1.025,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,12,0.1814595660749507,23.204419889502763,5.517241379310345,35,31,4,8.5995085995086,11.355311355311356,2.9850746268656714,2.6285714285714286,2.7096774193548385,2.0,1.8741258741258742,1.0397350993377483,1.0512820512820513,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,13,0.19157088122605365,24.456521739130434,6.493506493506493,38,33,5,9.134615384615383,11.956521739130435,3.571428571428571,2.6315789473684212,2.727272727272727,2.0,1.9109589041095891,1.0476190476190477,1.0470588235294118,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,14,0.19180633147113593,23.86058981233244,8.536585365853659,39,33,6,9.069767441860465,11.702127659574469,4.054054054054054,2.641025641025641,2.696969696969697,2.3333333333333335,1.9013157894736843,1.0328947368421053,1.0459770114942528,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,15,0.19529837251356238,24.54308093994778,8.235294117647058,41,35,6,9.425287356321839,12.411347517730496,3.9215686274509802,2.6341463414634148,2.6857142857142855,2.3333333333333335,2.0,1.0382165605095541,1.0454545454545454,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,16,0.20035149384885764,25.128205128205128,8.938547486033519,44,37,7,9.90990990990991,12.982456140350877,4.40251572327044,2.590909090909091,2.6486486486486487,2.2857142857142856,2.052980132450331,1.0377358490566038,1.0444444444444445,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,17,0.20819112627986347,25.128205128205128,12.244897959183673,47,37,10,10.375275938189846,13.074204946996467,5.88235294117647,2.595744680851064,2.6486486486486487,2.4,2.111842105263158,1.049689440993789,1.0434782608695652,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,18,0.21227197346600332,25.44529262086514,13.333333333333334,50,38,12,10.683760683760683,13.286713286713287,6.593406593406594,2.56,2.6315789473684212,2.3333333333333335,2.0822784810126582,1.0602409638554218,1.0425531914893618,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,19,0.20933977455716588,24.623115577889447,14.349775784753364,51,37,14,10.647181628392484,12.847222222222221,7.329842931937172,2.549019607843137,2.6486486486486487,2.2857142857142856,2.0853658536585367,1.0745341614906831,1.0392156862745099,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,20,0.19874804381846636,23.308270676691727,14.166666666666666,49,34,15,9.8989898989899,11.846689895470384,7.211538461538461,2.5918367346938775,2.735294117647059,2.2666666666666666,2.0346820809248554,1.079268292682927,1.0476190476190477,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,21,0.19300911854103345,23.01980198019802,13.385826771653544,49,34,15,9.645669291338582,11.805555555555555,6.8181818181818175,2.5918367346938775,2.735294117647059,2.2666666666666666,1.9731182795698925,1.0778443113772456,1.0471698113207548,2,2
1,0.3,10.0,0.7,10.0,9,3.0,50,True,True,0.1,0.03,2.0,10.0,22,0.19497784342688332,23.902439024390244,12.734082397003746,51,36,15,9.864603481624759,12.543554006968641,6.521739130434782,2.588235294117647,2.7222222222222223,2.2666666666666666,2.0,1.0843373493975903,1.055045871559633,2,2
