engine,run_number,seed,patch_index,slum_occupants
netlogo,2,20260713,76,2
netlogo,2,20260713,77,2
netlogo,2,20260713,78,2
netlogo,2,20260713,79,2
netlogo,2,20260713,80,2
netlogo,2,20260713,81,2
netlogo,2,20260713,82,2
netlogo,2,20260713,83,2
netlogo,2,20260713,84,2
netlogo,2,20260713,85,2
netlogo,2,20260713,86,2
netlogo,2,20260713,87,2
netlogo,2,20260713,88,2
netlogo,2,20260713,89,2
netlogo,2,20260713,90,2
netlogo,2,20260713,91,2
netlogo,2,20260713,92,2
netlogo,2,20260713,93,2
netlogo,2,20260713,94,2
netlogo,2,20260713,95,2
netlogo,2,20260713,96,2
netlogo,2,20260713,97,2
netlogo,2,20260713,98,2
netlogo,2,20260713,99,2
netlogo,2,20260713,100,2
netlogo,2,20260713,101,2
netlogo,2,20260713,102,2
netlogo,2,20260713,103,2
netlogo,2,20260713,104,2
netlogo,2,20260713,105,2
netlogo,2,20260713,106,2
netlogo,2,20260713,107,3
netlogo,2,20260713,108,3
netlogo,2,20260713,109,3
netlogo,2,20260713,110,3
netlogo,2,20260713,111,3
netlogo,2,20260713,112,3
netlogo,2,20260713,113,3
netlogo,2,20260713,114,3
netlogo,2,20260713,115,3
netlogo,2,20260713,116,3
netlogo,2,20260713,117,3
netlogo,2,20260713,118,3
netlogo,2,20260713,119,3
netlogo,2,20260713,120,3
netlogo,2,20260713,121,3
netlogo,2,20260713,122,3
netlogo,2,20260713,123,3
netlogo,2,20260713,124,3
netlogo,2,20260713,125,3
netlogo,2,20260713,126,4
netlogo,2,20260713,127,4
netlogo,2,20260713,128,4
netlogo,2,20260713,129,5
netlogo,2,20260713,130,5
netlogo,2,20260713,131,5
netlogo,2,20260713,132,6
netlogo,2,20260713,133,7
netlogo,2,20260713,134,9
netlogo,2,20260713,135,9
netlogo,2,20260713,136,9
netlogo,3,20260714,1,2
netlogo,3,20260714,2,2
netlogo,3,20260714,3,2
netlogo,3,20260714,4,2
netlogo,3,20260714,5,2
netlogo,3,20260714,6,2
netlogo,3,20260714,7,2
netlogo,3,20260714,8,2
netlogo,3,20260714,9,2
netlogo,3,20260714,10,2
netlogo,3,20260714,11,2
netlogo,3,20260714,12,2
netlogo,3,20260714,13,2
netlogo,3,20260714,14,2
netlogo,3,20260714,15,2
netlogo,3,20260714,16,2
netlogo,3,20260714,17,2
netlogo,3,20260714,18,2
netlogo,3,20260714,19,2
netlogo,3,20260714,20,2
netlogo,3,20260714,21,2
netlogo,3,20260714,22,2
netlogo,3,20260714,23,2
netlogo,3,20260714,24,2
netlogo,3,20260714,25,2
netlogo,3,20260714,26,2
netlogo,3,20260714,27,2
netlogo,3,20260714,28,2
netlogo,3,20260714,29,2
netlogo,3,20260714,30,2
netlogo,3,20260714,31,2
netlogo,3,20260714,32,2
netlogo,3,20260714,33,2
netlogo,3,20260714,34,2
netlogo,3,20260714,35,2
netlogo,3,20260714,36,2
netlogo,3,20260714,37,2
netlogo,3,20260714,38,2
netlogo,3,20260714,39,2
netlogo,3,20260714,40,2
netlogo,3,20260714,41,2
