"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"references/csssa2026/Slumulation-master/OriginalModel/Slumulation_NetLogo6_1.nlogo"
"Politics and Development ON OFF 30 Rep Reference"
"07/03/2026 14:27:36:270 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","staying-power","percent-inappropriate-land","informalityindex","percent-prime-land","initialcitylimit","popgrowthrate","SimulationRuntime","Politics","Develop","price-sensitivity","diffusion-rate","economicgrowthrate","initialinequality","[step]","slumpoppercent","centralslumpoppercent","peripheryslumpoppercent","num-slums","central-num-slums","peripheral-num-slums","slumareapercent","centralslumareapercent","peripheryslumareapercent","slum-density","central-slum-density","periphery-slum-density","red-density","blue-density","green-density","smallest-slum","largest-slum"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","1","0.03234501347708895","4.067796610169491","0","6","6","0","1.643835616438356","2.0761245674740483","0","2","2","0","1.0714285714285714","1","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","2","0.06282722513089005","7.9470198675496695","0","11","11","0","2.9810298102981028","3.8062283737024223","0","2.1818181818181817","2.1818181818181817","0","1.147239263803681","1","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","3","0.07633587786259542","9.933774834437086","0","14","14","0","3.7135278514588856","4.895104895104895","0","2.142857142857143","2.142857142857143","0","1.1840490797546013","1","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","4","0.09900990099009901","13.114754098360656","0","19","19","0","4.986876640419948","6.73758865248227","0","2.1052631578947367","2.1052631578947367","0","1.267515923566879","1","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","5","0.1201923076923077","16.233766233766232","0","23","23","0","6.036745406824147","8.424908424908425","0","2.1739130434782608","2.1739130434782608","0","1.3866666666666667","1","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","6","0.1378504672897196","18.210862619808307","1.7391304347826086","27","26","1","7.105263157894736","9.774436090225564","0.8771929824561403","2.185185185185185","2.1923076923076925","2","1.5323741007194245","1.0066225165562914","1","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","7","0.1431818181818182","18.495297805642632","3.3057851239669422","29","27","2","7.552083333333333","10.18867924528302","1.680672268907563","2.1724137931034484","2.185185185185185","2","1.5971223021582734","1.0130718954248366","1.0161290322580645","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","8","0.1434878587196468","18.153846153846153","4.6875","31","28","3","7.888040712468193","10.44776119402985","2.4","2.096774193548387","2.107142857142857","2","1.6153846153846154","1.013157894736842","1.0149253731343284","2","2"
"1","0.3","10","0.7","10","9","3","50","true","true","0.1","0.03","2","10","9","0.14377682403433475","17.272727272727273","7.352941176470589","32","27","5","8","10","3.8461538461538463","2.09375","2.111111111111111","2","1.6643356643356644","1.0125786163522013","1.0151515151515151","2","2"
