bundle_id,paper_promotive-level,mesa_promotive_level,paper_risk-level,mesa_risk_level,paper_schools-promotive,mesa_schools_promotive,paper_schools-risk,mesa_schools_risk,paper_neighborhood-promotive,mesa_neighborhood_promotive,paper_neighborhood-risk,mesa_neighborhood_risk
638,75,75,50,50,75,75,50,50,75,75,50,50
639,75,75,50,50,75,75,50,50,75,75,75,75
640,75,75,50,50,75,75,75,75,25,25,25,25
641,75,75,50,50,75,75,75,75,25,25,50,50
642,75,75,50,50,75,75,75,75,25,25,75,75
643,75,75,50,50,75,75,75,75,50,50,25,25
644,75,75,50,50,75,75,75,75,50,50,50,50
645,75,75,50,50,75,75,75,75,50,50,75,75
646,75,75,50,50,75,75,75,75,75,75,25,25
647,75,75,50,50,75,75,75,75,75,75,50,50
648,75,75,50,50,75,75,75,75,75,75,75,75
649,75,75,75,75,25,25,25,25,25,25,25,25
650,75,75,75,75,25,25,25,25,25,25,50,50
651,75,75,75,75,25,25,25,25,25,25,75,75
652,75,75,75,75,25,25,25,25,50,50,25,25
653,75,75,75,75,25,25,25,25,50,50,50,50
654,75,75,75,75,25,25,25,25,50,50,75,75
655,75,75,75,75,25,25,25,25,75,75,25,25
656,75,75,75,75,25,25,25,25,75,75,50,50
657,75,75,75,75,25,25,25,25,75,75,75,75
658,75,75,75,75,25,25,50,50,25,25,25,25
659,75,75,75,75,25,25,50,50,25,25,50,50
660,75,75,75,75,25,25,50,50,25,25,75,75
661,75,75,75,75,25,25,50,50,50,50,25,25
662,75,75,75,75,25,25,50,50,50,50,50,50
663,75,75,75,75,25,25,50,50,50,50,75,75
664,75,75,75,75,25,25,50,50,75,75,25,25
665,75,75,75,75,25,25,50,50,75,75,50,50
666,75,75,75,75,25,25,50,50,75,75,75,75
667,75,75,75,75,25,25,75,75,25,25,25,25
668,75,75,75,75,25,25,75,75,25,25,50,50
669,75,75,75,75,25,25,75,75,25,25,75,75
670,75,75,75,75,25,25,75,75,50,50,25,25
671,75,75,75,75,25,25,75,75,50,50,50,50
672,75,75,75,75,25,25,75,75,50,50,75,75
673,75,75,75,75,25,25,75,75,75,75,25,25
674,75,75,75,75,25,25,75,75,75,75,50,50
675,75,75,75,75,25,25,75,75,75,75,75,75
676,75,75,75,75,50,50,25,25,25,25,25,25
677,75,75,75,75,50,50,25,25,25,25,50,50
678,75,75,75,75,50,50,25,25,25,25,75,75
679,75,75,75,75,50,50,25,25,50,50,25,25
680,75,75,75,75,50,50,25,25,50,50,50,50
681,75,75,75,75,50,50,25,25,50,50,75,75
682,75,75,75,75,50,50,25,25,75,75,25,25
683,75,75,75,75,50,50,25,25,75,75,50,50
684,75,75,75,75,50,50,25,25,75,75,75,75
685,75,75,75,75,50,50,50,50,25,25,25,25
686,75,75,75,75,50,50,50,50,25,25,50,50
687,75,75,75,75,50,50,50,50,25,25,75,75
688,75,75,75,75,50,50,50,50,50,50,25,25
689,75,75,75,75,50,50,50,50,50,50,50,50
690,75,75,75,75,50,50,50,50,50,50,75,75
691,75,75,75,75,50,50,50,50,75,75,25,25
692,75,75,75,75,50,50,50,50,75,75,50,50
693,75,75,75,75,50,50,50,50,75,75,75,75
694,75,75,75,75,50,50,75,75,25,25,25,25
695,75,75,75,75,50,50,75,75,25,25,50,50
696,75,75,75,75,50,50,75,75,25,25,75,75
697,75,75,75,75,50,50,75,75,50,50,25,25
698,75,75,75,75,50,50,75,75,50,50,50,50
699,75,75,75,75,50,50,75,75,50,50,75,75
700,75,75,75,75,50,50,75,75,75,75,25,25
701,75,75,75,75,50,50,75,75,75,75,50,50
702,75,75,75,75,50,50,75,75,75,75,75,75
703,75,75,75,75,75,75,25,25,25,25,25,25
704,75,75,75,75,75,75,25,25,25,25,50,50
705,75,75,75,75,75,75,25,25,25,25,75,75
706,75,75,75,75,75,75,25,25,50,50,25,25
707,75,75,75,75,75,75,25,25,50,50,50,50
708,75,75,75,75,75,75,25,25,50,50,75,75
709,75,75,75,75,75,75,25,25,75,75,25,25
710,75,75,75,75,75,75,25,25,75,75,50,50
711,75,75,75,75,75,75,25,25,75,75,75,75
712,75,75,75,75,75,75,50,50,25,25,25,25
713,75,75,75,75,75,75,50,50,25,25,50,50
714,75,75,75,75,75,75,50,50,25,25,75,75
715,75,75,75,75,75,75,50,50,50,50,25,25
716,75,75,75,75,75,75,50,50,50,50,50,50
717,75,75,75,75,75,75,50,50,50,50,75,75
718,75,75,75,75,75,75,50,50,75,75,25,25
719,75,75,75,75,75,75,50,50,75,75,50,50
720,75,75,75,75,75,75,50,50,75,75,75,75
721,75,75,75,75,75,75,75,75,25,25,25,25
722,75,75,75,75,75,75,75,75,25,25,50,50
723,75,75,75,75,75,75,75,75,25,25,75,75
724,75,75,75,75,75,75,75,75,50,50,25,25
725,75,75,75,75,75,75,75,75,50,50,50,50
726,75,75,75,75,75,75,75,75,50,50,75,75
727,75,75,75,75,75,75,75,75,75,75,25,25
728,75,75,75,75,75,75,75,75,75,75,50,50
729,75,75,75,75,75,75,75,75,75,75,75,75
