bundle_id,seed,promotive_level,risk_level,schools_promotive,schools_risk,neighborhood_promotive,neighborhood_risk,antisocial_experience_score,prosocial_experience_score,percent_antisocial,family_risk_mean,family_promotive_mean,school_risk_mean,school_promotive_mean,neighborhood_risk_mean,neighborhood_promotive_mean
1,1,25,25,25,25,25,25,110.996666666663,92.596666666664,0.513333333333,0.224781870988,0.207568288399,0.241837517104,0.248127250348,0.245378498965,0.235275035016
1,2,25,25,25,25,25,25,99.161999999997,104.420666666663,0.493333333333,0.214589525783,0.228539283938,0.23750806475,0.249717943537,0.245129581343,0.243196562938
1,3,25,25,25,25,25,25,91.714666666664,118.13733333333,0.433333333333,0.244315217669,0.262136679022,0.243895795859,0.245349450521,0.235534447391,0.244333677653
1,4,25,25,25,25,25,25,104.98533333333,106.806666666663,0.493333333333,0.265045230916,0.235836559549,0.239332776831,0.272701985333,0.241644605257,0.236849853759
1,5,25,25,25,25,25,25,112.112666666663,105.414666666663,0.52,0.278209235,0.246700482992,0.276315143272,0.240111088526,0.227914145586,0.237932293857
1,6,25,25,25,25,25,25,96.31733333333,115.324666666663,0.46,0.241418280151,0.250368274656,0.253556123733,0.238978757259,0.235566488529,0.245084292142
1,7,25,25,25,25,25,25,111.90133333333,96.02333333333,0.553333333333,0.246245729505,0.220579100733,0.219065084836,0.260084952262,0.237334511818,0.239475982512
1,8,25,25,25,25,25,25,91.313999999997,116.454666666663,0.433333333333,0.246124189052,0.250094965413,0.243218013811,0.255290253383,0.235123429575,0.239056104791
1,9,25,25,25,25,25,25,95.968666666664,111.011999999997,0.446666666667,0.221149821419,0.231721175857,0.220265634124,0.230052513819,0.247400241442,0.246259477057
1,10,25,25,25,25,25,25,99.216666666663,107.082666666663,0.48,0.248712696202,0.255865367339,0.226116954953,0.247206220347,0.235510193774,0.235321203075
2,1,25,25,25,25,25,50,166.050666666671,91.751333333331,0.526666666667,0.231987099788,0.209062327967,0.241837517104,0.248127250348,0.362457888674,0.235569155138
2,2,25,25,25,25,25,50,154.477333333337,107.15333333333,0.486666666667,0.231070177458,0.240614838744,0.23750806475,0.249717943537,0.354117413176,0.239280541199
